Pos,2P,FT,TRB,AST,STL,PTS
SF,0.57 ,0.8 ,5 ,2 ,1 ,26 
SF,0.52 ,0.7 ,6 ,2 ,1 ,8 
C,0.46 ,0.3 ,1 ,0 ,0 ,2 
SF,0.50 ,0.9 ,3 ,2 ,1 ,13 
PF,0.50 ,0.8 ,2 ,1 ,0 ,4 
PF,0.27 ,0.7 ,0 ,0 ,0 ,2 
PF,0.33 ,0.5 ,0 ,0 ,0 ,2 
PF,0.13 ,0.5 ,0 ,0 ,0 ,1 
PF,0.29 ,1.0 ,0 ,0 ,0 ,3 
PF,0.38 ,0.6 ,1 ,0 ,0 ,3 
C,0.54 ,0.9 ,13 ,2 ,1 ,17 
SF,0.51 ,0.9 ,1 ,1 ,0 ,5 
PF,0.37 ,0.6 ,1 ,0 ,0 ,2 
C,0.58 ,0.7 ,6 ,2 ,1 ,14 
PG,0.51 ,0.8 ,1 ,6 ,1 ,12 
PG,0.42 ,0.9 ,1 ,2 ,0 ,5 
PG,0.45 ,0.7 ,3 ,5 ,2 ,10 
PF,0.53 ,0.7 ,7 ,1 ,1 ,7 
PF,1.00 ,0.0 ,0 ,0 ,0 ,1 
PF,0.50 ,0.6 ,8 ,1 ,1 ,8 
SG,0.52 ,0.8 ,4 ,4 ,1 ,18 
C,1.00 ,,0 ,0 ,0 ,2 
SF,0.45 ,0.7 ,0 ,0 ,0 ,4 
SF,0.45 ,0.7 ,0 ,0 ,0 ,5 
SF,,,0 ,0 ,0 ,0 
SG,0.47 ,0.9 ,4 ,3 ,1 ,16 
PG,0.44 ,0.8 ,2 ,3 ,1 ,4 
PG,0.49 ,0.8 ,2 ,8 ,1 ,11 
PF,0.50 ,0.8 ,9 ,3 ,1 ,16 
SF,0.40 ,0.8 ,0 ,0 ,0 ,4 
PG,0.52 ,0.8 ,2 ,4 ,2 ,10 
PF,0.51 ,0.7 ,9 ,2 ,1 ,9 
SG,0.46 ,0.8 ,2 ,2 ,0 ,12 
C,0.49 ,0.8 ,12 ,1 ,1 ,23 
SF,0.42 ,0.8 ,1 ,1 ,0 ,2 
PG,0.49 ,0.8 ,0 ,1 ,0 ,8 
PG,0.55 ,0.8 ,0 ,0 ,0 ,8 
PG,0.47 ,0.6 ,0 ,1 ,0 ,7 
SF,0.54 ,0.8 ,6 ,3 ,1 ,12 
C,0.47 ,0.8 ,4 ,1 ,1 ,13 
SF,0.50 ,0.7 ,6 ,2 ,1 ,11 
PF,0.39 ,0.7 ,1 ,1 ,0 ,3 
PF,0.44 ,0.7 ,2 ,0 ,0 ,4 
SF,0.60 ,0.5 ,2 ,1 ,1 ,10 
PF,0.56 ,0.8 ,8 ,1 ,0 ,18 
SG,0.42 ,0.8 ,1 ,1 ,1 ,6 
PG,0.45 ,0.8 ,1 ,2 ,0 ,4 
C,0.50 ,0.8 ,2 ,1 ,0 ,9 
C,0.62 ,0.5 ,4 ,0 ,0 ,6 
C,0.53 ,0.8 ,4 ,1 ,0 ,7 
